# node id    kappa                theta                r                    x                    y                    z                    name                          
0            43.954               0.0108645            7.02994              139.218291631        118.229508197        45.0431406385        lh_isthmuscingulate_1_1       
1            28.9054              0.0238127            7.86817              166.871473354        118.120689655        46.8636363636        lh_precuneus_2_4              
2            45.6753              0.0301076            6.95311              178.562248996        123.096385542        58.0254350736        lh_superiorparietal_3_5       
3            41.6933              0.0304302            7.13555              138.960172228        102.80409042         42.82131324          rh_isthmuscingulate_1_1       
4            33.5471              0.0672272            7.57033              158.893512852        103.05752754         45.6731946144        rh_precuneus_1_3              
5            40.3351              0.0909775            7.20178              165.620261032        104.402113114        59.8993163456        rh_precuneus_2_4              
6            37.2605              0.205578             7.36036              163.935666982        117.295175024        54.4749290445        lh_precuneus_2_3              
7            47.6614              0.243693             6.86798              155.673913043        94.584120983         81.7344045369        rh_superiorparietal_1_2       
8            51.8702              0.388459             6.69874              172.869135802        92.6567901235        56.0382716049        rh_superiorparietal_3_5       
9            44.5511              0.420235             7.00295              167.279683377        92.3614775726        73.7150395778        rh_superiorparietal_2_3       
10           46.5547              0.476833             6.91497              90.3761061947        88.9277286136        18.3628318584        rh_amygdala                   
11           67.7787              0.54514              6.16373              185.898224852        98.3195266272        44.6781065089        rh_superiorparietal_3_7       
12           42.4636              0.598092             7.09893              175.448497854        99.8508583691        9.60622317597        rh_lingual_1_1                
13           27.9078              0.715312             7.93842              161.749199573        84.2561366062        12.3660618997        rh_fusiform_1_1               
14           32.328               0.720935             7.64436              175.407185629        89.7844311377        42.3383233533        rh_superiorparietal_3_6       
15           40.4797              0.790825             7.19462              104.431155779        76.816080402         9.38994974874        rh_fusiform_2_4               
16           31.6661              0.805283             7.68573              131.43079096         79.7344632768        12.0310734463        rh_fusiform_2_3               
17           16.193               0.821613             9.02707              183.028290283        84.6396063961        22.1918819188        rh_lateraloccipital_1_2       
18           28.1452              0.836069             7.92148              174.35347432         80.2311178248        13.6336858006        rh_lateraloccipital_2_4       
19           23.3068              0.840592             8.29874              112.150224215        69.7533632287        37.5896860987        rh_transversetemporal_1_1     
20           37.3747              0.845654             7.35424              174.493015612        78.2654067379        38.7263763353        rh_inferiorparietal_3_6       
21           8.86265              0.873193             10.2325              158.27092511         69.0803964758        20.6674008811        rh_lateraloccipital_3_5       
22           21.2131              0.87978              8.48699              148.176220807        78.3163481953        12.9002123142        rh_fusiform_1_2               
23           9.22123              0.892243             10.1532              127.324632953        60.969004894         12.4584013051        rh_inferiortemporal_2_3       
24           21.5684              0.953565             8.45377              112.404591105        63.6628407461        9.84218077475        rh_inferiortemporal_1_2       
25           35.4656              1.00078              7.4591               190.963464141        94.8335588633        19.2354533153        rh_lateraloccipital_1_1       
26           49.0949              1.00277              6.80872              101.445977011        56.0701149425        32.6183908046        rh_superiortemporal_1_3       
27           100.272              1.01238              5.38045              89.9717261905        70.7276785714        5.43303571429        rh_inferiortemporal_1_1       
28           44.4219              1.01444              7.00876              93.0185185185        68.1646090535        24.7654320988        rh_superiortemporal_2_4       
29           16.6793              1.05631              8.96789              184.298171589        91.6132208158        7.96905766526        rh_lateraloccipital_2_3       
30           31.0697              1.06289              7.72376              82.9651162791        61.9165526676        22.3002735978        rh_superiortemporal_2_5       
31           84.6713              1.0884               5.71867              89.0318754633        59.3439584878        10.0303928836        rh_middletemporal_2_4         
32           29.7733              1.13345              7.809                51.7528089888        84.3183520599        31.2746566792        rh_lateralorbitofrontal_2_3   
33           15.708               1.14139              9.08789              70.9688995215        79.8373205742        7.43062200957        rh_temporalpole_1_1           
34           21.073               1.16771              8.50025              62.0295420975        91.9852289513        25.4047267356        rh_lateralorbitofrontal_1_1   
35           21.2238              1.19375              8.48598              36.1617647059        92.8004201681        32.6092436975        rh_lateralorbitofrontal_2_4   
36           43.0834              1.23817              7.06995              48.5527876631        67.8113879004        34.0569395018        rh_parsorbitalis_1_1          
37           27.9607              1.24086              7.93463              65.1774193548        77.8695014663        31.1011730205        rh_lateralorbitofrontal_1_2   
38           41.9547              1.26157              7.12305              30.6630727763        89.6185983827        53.5997304582        rh_rostralmiddlefrontal_2_5   
39           129.135              1.33883              4.87451              89.4249694377        85.6509779951        36.0893948655        rh_putamen                    
40           37.3802              1.34677              7.35395              93.2952586207        75.7952586207        37.0301724138        rh_insula_1_2                 
41           44.8776              1.35223              6.98835              111.074450085        79.255499154         42.3959390863        rh_insula_1_1                 
42           35.2041              1.35632              7.4739               115.152990264        57.4422809458        32.7941585535        rh_superiortemporal_1_2       
43           35.6998              1.42373              7.44594              125.729083665        60.7065073041        39.1102257636        rh_superiortemporal_1_1       
44           43.0854              1.43503              7.06986              64.2489959839        71.2677376171        44.5769745649        rh_parstriangularis_1_1       
45           23.849               1.44033              8.25275              78.3586698337        77.539192399         37.190023753         rh_insula_2_3                 
46           26.936               1.44986              8.0093               119.415289256        57.8223140496        23.7727272727        rh_middletemporal_1_2         
47           32.8637              1.49075              7.61149              59.6664254703        60.7489146165        45.9696092619        rh_parstriangularis_1_2       
48           19.2673              1.49095              8.67941              123.602584814        68.6672051696        47.9911147011        rh_supramarginal_2_4          
49           27.4353              1.51488              7.97257              124.610606061        58.1045454545        58.9242424242        rh_supramarginal_2_3          
50           21.3226              1.51762              8.4767               132.239478958        63.50501002          33.7675350701        rh_bankssts_1_1               
51           19.7426              1.57818              8.63067              110.263318113        56.2557077626        19.5783866058        rh_middletemporal_2_3         
52           34.7479              1.59841              7.49999              138.802997859        57.1723768737        23.8618843683        rh_middletemporal_1_1         
53           18.1333              1.62138              8.80073              165.967509025        73.1200361011        47.6768953069        rh_inferiorparietal_2_4       
54           37.3934              1.64979              7.35324              141.603174603        61.3470899471        12.4317460317        rh_inferiortemporal_2_4       
55           8.74861              1.66141              10.2584              151.958684654        68.8431703204        34.3811129848        rh_inferiorparietal_3_5       
56           18.2723              1.68273              8.78546              140.043433299        58.9917269907        55.9865563599        rh_supramarginal_1_2          
57           18.6915              1.7086               8.74009              149.862689394        65.8579545455        55.4071969697        rh_inferiorparietal_1_2       
58           18.9245              1.72658              8.71532              91.331797235         62.3052995392        49.2281105991        rh_precentral_1_1             
59           19.2949              1.77926              8.67655              103.21319797         63.7258883249        49.2216582064        rh_postcentral_1_1            
60           32.5947              1.83391              7.62793              166.890160183        88.8981693364        68.4736842105        rh_superiorparietal_2_4       
61           16.5235              1.83885              8.98666              135.051254089        70.066521265         67.4667393675        rh_supramarginal_1_1          
62           43.5523              1.85731              7.0483               165.485380117        74.701754386         58.6947368421        rh_inferiorparietal_2_3       
63           23.1328              1.90424              8.31372              131.729559748        80.6264150943        77.1761006289        rh_postcentral_2_4            
64           11.5475              1.91623              9.70329              107.389853138        55.3391188251        57.9439252336        rh_postcentral_1_2            
65           17.4254              1.92005              8.88037              118.42624166         67.3802816901        75.0281690141        rh_postcentral_2_3            
66           63.187               1.92444              6.30403              93.5282823041        91.9916969382        33.7872340426        rh_pallidum                   
67           32.9151              1.93147              7.60836              146.263333333        82.44                73.6286666667        rh_superiorparietal_1_1       
68           30.9964              1.94402              7.72849              153.937354988        75.8851508121        62.5011600928        rh_inferiorparietal_1_1       
69           19.7604              2.01805              8.62886              87.5661861075        60.7824377457        61.1389252949        rh_precentral_1_2             
70           24.8331              2.05398              8.17187              98.5141463415        63.7814634146        67.392195122         rh_precentral_2_3             
71           40.2531              2.12984              7.20585              107.58056266         74.3921568627        79.031543052         rh_precentral_2_4             
72           69.8069              2.17129              6.10476              110.134405303        101.089235301        36.5401988462        rh_thalamusproper             
73           38.3027              2.17131              7.30519              123.371863799        86.4641577061        85.5421146953        rh_precentral_3_5             
74           41.6626              2.17881              7.13702              75.5877616747        67.1481481481        54.0821256039        rh_parsopercularis_1_1        
75           43.8931              2.1806               7.03271              135.156050955        87.9355095541        88.4291401274        rh_postcentral_2_5            
76           38.3737              2.19019              7.30148              97.7126315789        79.2968421053        78.4621052632        rh_caudalmiddlefrontal_1_1    
77           30.5745              2.20617              7.7559               67.4978354978        70.6904761905        66.2337662338        rh_rostralmiddlefrontal_1_2   
78           45.1338              2.20941              6.97697              88.4169642857        81.9366071429        86.8616071429        rh_caudalmiddlefrontal_1_3    
79           29.3903              2.23313              7.8349               85.1083844581        70.5766871166        75.5971370143        rh_caudalmiddlefrontal_1_2    
80           39.5793              2.27276              7.23962              77.6219806763        66.6195652174        52.7258454106        rh_parsopercularis_1_2        
81           25.7901              2.34946              8.09625              60.9578947368        86.5330143541        75.6574162679        rh_rostralmiddlefrontal_1_1   
82           37.2352              2.36088              7.36172              36.1181716834        80.0657748049        41.2954292085        rh_rostralmiddlefrontal_2_6   
83           73.2755              2.36246              6.00778              83.2200151343        98.7410139992        46.4301929625        rh_caudate                    
84           32.6793              2.3667               7.62274              41.9528558477        78.5820489574        53.9211242067        rh_rostralmiddlefrontal_2_4   
85           23.9114              2.41365              8.24752              54.5858788182        76.8282423635        65.7371056585        rh_rostralmiddlefrontal_1_3   
86           30.7917              2.47497              7.74174              66.2366412214        95.18956743          85.5394402036        rh_superiorfrontal_2_4        
87           51.9629              2.48451              6.69517              42.2277777778        99.837962963         68.462962963         rh_superiorfrontal_1_2        
88           36.0371              2.51041              7.42713              59.3496168582        100.767241379        79.7691570881        rh_superiorfrontal_2_3        
89           39.083               2.51821              7.26485              47.1921708185        121.114768683        78.084519573         lh_superiorfrontal_2_3        
90           28.0042              2.56887              7.93152              68.4108241082        119.426814268        84.2054120541        lh_superiorfrontal_3_5        
91           43.5922              2.57318              7.04647              80.6322263223        126.050430504        87.3591635916        lh_superiorfrontal_3_6        
92           34.2908              2.62119              7.52647              83.1699346405        99.324929972         85.5555555556        rh_superiorfrontal_3_5        
